alpha_F,alpha_T,alpha_N,Rwp,sizeF,sizeT,sizeN,concF,concT,concN
0.1,0.68,0.22,25.3415818,91.7876657,19.08528,61.5220863,3.53,80.889,15.581
0.1,0.7000000000000001,0.2,24.9253899,91.7876657,19.08528,61.5220863,3.298,83.118,13.585
0.1,0.72,0.18,24.5288488,91.7876657,19.08528,61.5220863,3.168,85.228,11.603
0.1,0.74,0.16,24.1847861,91.7876657,19.08528,61.5220863,2.977,87.156,9.867
0.1,0.76,0.14,23.900362,91.7876657,19.08528,61.5220863,2.789,88.985,8.226
0.1,0.78,0.12,23.7211048,91.7876657,19.08528,61.5220863,2.647,90.546,6.807
0.1,0.8,0.1,23.7218033,91.7876657,19.08528,61.5220863,2.553,92.147,5.3
0.1,0.8200000000000001,0.08,23.8781809,91.7876657,19.08528,61.5220863,2.698,93.439,3.862
0.1,0.84,0.06,24.2473493,91.7876657,19.08528,61.5220863,2.565,94.493,2.942
0.1,0.86,0.04,24.8547502,91.7876657,19.08528,61.5220863,2.466,95.433,2.101
0.1,0.88,0.02,25.6491212,91.7876657,19.08528,61.5220863,2.362,96.232,1.406
0.1,0.9,0.0,26.6007871,91.7876657,19.08528,0.0,2.489,97.511,0.0
0.12,0.0,0.88,24.9798305,91.7876657,0.0,61.5220863,4.292,0.0,95.708
0.12,0.02,0.86,24.5958532,91.7876657,19.08528,61.5220863,4.512,0.0,95.488
